member_id,genealogy_id,name,gender,birth_year,death_year,biography
30000,3,伍洋,M,1603,1690,
30001,3,方芳薇,F,1605,1683,
30002,3,伍涛,M,1602,1673,
30003,3,钱秀惠,F,1601,1690,
30004,3,伍鸿,M,1602,1659,
30005,3,阮敏,F,1599,1654,
30006,3,伍杰健,M,1606,1669,
30007,3,宋兰,F,1608,1657,
30008,3,伍鹏,M,1603,1682,
30009,3,康媛,F,1602,1673,
30010,3,伍轩,M,1603,1660,
30011,3,毛怡燕,F,1600,1664,
30012,3,伍涛,M,1600,1657,
30013,3,季媛,F,1598,1644,
30014,3,伍刚斌,M,1601,1687,
30015,3,康玉霞,F,1600,1668,
30016,3,伍健,M,1607,1680,
30017,3,徐燕,F,1607,1665,
30018,3,伍达,M,1608,1668,
30019,3,汪欣,F,1607,1692,
30020,3,伍明,M,1600,1647,
30021,3,于雅,F,1600,1679,
30022,3,伍天达,M,1608,1698,
30023,3,黄梦,F,1607,1689,
30024,3,伍萍佳,F,1619,1660,
30025,3,伍鑫驰,M,1621,1710,
30026,3,伍刚,M,1618,1698,
30027,3,伍怡,F,1621,1709,
30028,3,伍辉,M,1618,1690,
30029,3,伍强,M,1616,1705,
30030,3,伍芬,F,1619,1677,
30031,3,伍烨浩,M,1615,1661,
30032,3,伍彬,M,1616,1684,
30033,3,伍云,F,1616,1699,
30034,3,伍明,M,1619,1709,
30035,3,伍俊,M,1621,1683,
30036,3,伍轩,M,1619,1677,
30037,3,伍奕昊,M,1619,1682,
30038,3,伍玲,F,1615,1691,
30039,3,伍月,F,1619,1703,
30040,3,伍勇,M,1619,1667,
30041,3,伍洁,F,1619,1693,
30042,3,伍琪,F,1616,1687,
30043,3,伍洁,F,1618,1688,
30044,3,伍海,M,1620,1667,
30045,3,伍月,F,1615,1698,
30046,3,伍凯,M,1615,1693,
30047,3,伍怡,F,1621,1680,
30048,3,伍红芳,F,1615,1671,
30049,3,伍龙,M,1621,1661,
30050,3,伍博,M,1615,1658,
30051,3,伍哲,M,1615,1655,
30052,3,伍娥佳,F,1617,1682,
30053,3,伍凤,F,1619,1675,
30054,3,伍奕,M,1618,1694,
30055,3,伍奇,M,1620,1660,
30056,3,伍莲,F,1617,1665,
30057,3,伍珠,F,1620,1701,
30058,3,伍艳,F,1619,1684,
30059,3,伍梦,F,1621,1662,
30060,3,伍莺,F,1616,1686,
30061,3,伍鸿海,M,1621,1710,
30062,3,伍彬浩,M,1621,1674,
30063,3,伍雪,F,1616,1701,
30064,3,伍博,M,1620,1671,
30065,3,伍林,M,1619,,
30066,3,伍媛,F,1621,1685,
30067,3,杜莲淑,F,1618,1673,
30068,3,阮琪瑶,F,1617,1689,
30069,3,周莲,F,1620,1700,
30070,3,曹莺,F,1611,1662,
30071,3,马惠,F,1617,1681,
30072,3,郝薇,F,1617,1671,
30073,3,苏瑶璐,F,1615,1687,
30074,3,钱瑶洁,F,1617,1674,
30075,3,鲁梦娜,F,1623,1672,
30076,3,陶燕颖,F,1616,1678,
30077,3,娄爱,F,1615,1704,
30078,3,蓝春,F,1619,1677,
30079,3,苏瑞月,F,1617,1705,
30080,3,姜雅,F,1621,1674,
30081,3,苏莲,F,1618,1683,
30082,3,金爱,F,1618,1696,
30083,3,柳莲,F,1616,1657,
30084,3,姚静丽,F,1618,1658,
30085,3,伍凤爱,F,1639,1682,
30086,3,伍凯凯,M,1639,1690,
30087,3,伍瑞,F,1638,1694,
30088,3,伍芳淑,F,1636,1693,
30089,3,伍媛静,F,1636,1714,
30090,3,伍晨宇,M,1638,1711,
30091,3,伍勇,M,1635,1691,
30092,3,伍凯,M,1637,1719,
30093,3,伍秀,F,1636,1712,
30094,3,伍雪,F,1634,1711,
30095,3,伍凯,M,1634,1678,
30096,3,伍菊雅,F,1636,1711,
30097,3,伍博,M,1634,1704,
30098,3,伍彬,M,1633,1697,
30099,3,伍浩,M,1637,1696,
30100,3,伍宸,M,1636,1692,
30101,3,伍芳,F,1637,1688,
30102,3,伍莺,F,1638,1703,
30103,3,伍轩,M,1636,1681,
30104,3,伍芝,F,1636,1694,
30105,3,伍丽,F,1638,1695,
30106,3,伍伟,M,1638,1712,
30107,3,伍红荣,F,1635,1691,
30108,3,伍秀,F,1639,1724,
30109,3,伍海,M,1638,1728,
30110,3,伍昊,M,1635,1687,
30111,3,伍龙,M,1639,1716,
30112,3,伍瑞,F,1636,1711,
30113,3,伍惠,F,1636,1694,
30114,3,伍勇,M,1633,1712,
30115,3,伍刚,M,1639,1724,
30116,3,伍薇兰,F,1636,1691,
30117,3,伍艳,F,1636,1703,
30118,3,伍霞,F,1637,1711,
30119,3,伍建,M,1635,1703,
30120,3,伍海军,M,1639,1723,
30121,3,伍瑞莲,F,1634,1720,
30122,3,伍颖梦,F,1639,1682,
30123,3,伍强强,M,1635,1723,
30124,3,伍菊,F,1639,1724,
30125,3,伍凯,M,1634,1697,
30126,3,伍杰,M,1639,,
30127,3,伍淑,F,1639,1709,
30128,3,伍芝彩,F,1638,1727,
30129,3,伍薇媛,F,1633,1707,
30130,3,伍强,M,1634,1712,
30131,3,伍龙,M,1638,1697,
30132,3,伍春雅,F,1638,1688,
30133,3,伍菊雪,F,1638,1717,
30134,3,伍松伟,M,1638,1728,
30135,3,伍宸,M,1637,1708,
30136,3,伍秀琪,F,1636,1708,
30137,3,伍驰,M,1633,1676,
30138,3,伍素瑶,F,1637,1685,
30139,3,伍琳,F,1637,1696,
30140,3,伍松,M,1636,1713,
30141,3,伍燕秀,F,1636,1700,
30142,3,伍伟,M,1638,1716,
30143,3,伍蕾,F,1639,1718,
30144,3,伍鹏,M,1639,1718,
30145,3,伍强,M,1638,1708,
30146,3,伍涛,M,1638,1709,
30147,3,伍淑,F,1633,1704,
30148,3,伍玲,F,1637,1717,
30149,3,伍达,M,1634,1694,
30150,3,伍素,F,1637,1691,
30151,3,伍彬,M,1638,1702,
30152,3,伍瑶,F,1634,1691,
30153,3,伍健,M,1637,1694,
30154,3,伍莺婷,F,1638,,
30155,3,伍勇,M,1633,1703,
30157,3,汪梅,F,1637,1721,
30158,3,卫芬惠,F,1635,1677,
30159,3,汤琪,F,1639,1716,
30160,3,魏璐,F,1636,1706,
30161,3,杨瑶,F,1637,1685,
30162,3,颜梦,F,1637,1700,
30163,3,蔡敏,F,1636,,
30164,3,宋爱,F,1633,1722,
30165,3,蔡萍,F,1635,1695,
30166,3,汪萍,F,1636,1718,
30167,3,苏春秀,F,1632,1710,
30168,3,盛芝,F,1635,1689,
30169,3,孙菊玲,F,1634,1711,
30171,3,汤瑞,F,1638,1727,
30174,3,郭丽月,F,1638,1691,
30175,3,彭春,F,1635,1675,
30176,3,姚菊,F,1633,1713,
30177,3,何瑞,F,1638,1689,
30178,3,蒋娥,F,1634,1683,
30179,3,钱凤,F,1638,1701,
30181,3,梁媛玲,F,1640,1725,
30182,3,贺荣,F,1640,1705,
30183,3,沈爱,F,1632,1689,
30186,3,季芬,F,1639,1727,
30187,3,蔡欣,F,1640,1685,
30188,3,林云,F,1639,1712,
30189,3,伍翔,M,1654,1707,
30190,3,伍海,M,1651,1727,
30191,3,伍洋建,M,1653,1733,
30192,3,伍霞,F,1655,1731,
30193,3,伍彩,F,1656,1714,
30194,3,伍雅,F,1655,1734,
30195,3,伍鑫,M,1653,1737,
30196,3,伍军,M,1654,1725,
30197,3,伍海翔,M,1655,1737,
30198,3,伍卓,M,1657,1737,
30199,3,伍天,M,1654,1738,
30200,3,伍春,F,1656,1722,
30201,3,伍驰远,M,1654,1716,
30202,3,伍晨,M,1657,1719,
30203,3,伍丽敏,F,1657,1711,
30204,3,伍彩瑞,F,1657,1728,
30205,3,伍璐,F,1655,1743,
30206,3,伍飞达,M,1652,1742,
30207,3,伍凯,M,1656,1740,
30208,3,伍明,M,1655,1742,
30209,3,伍秀玉,F,1655,1704,
30210,3,伍宇松,M,1654,1710,
30211,3,伍菊,F,1652,1735,
30212,3,伍奕,M,1655,1695,
30213,3,伍勇,M,1653,1719,
30214,3,伍林,M,1653,1700,
30215,3,伍淑,F,1655,1733,
30216,3,伍鸿,M,1656,1705,
30217,3,伍丽菊,F,1651,1717,
30218,3,伍琪欣,F,1651,1739,
30219,3,伍萍,F,1653,1705,
30220,3,伍烨,M,1652,1699,
30221,3,伍艳颖,F,1655,1695,
30222,3,伍文,M,1657,1715,
30223,3,伍泽浩,M,1654,1730,
30224,3,伍爱,F,1655,1695,
30225,3,伍勇鑫,M,1652,1702,
30226,3,伍宏驰,M,1653,1733,
30227,3,伍雪,F,1651,1713,
30228,3,伍春,F,1652,1697,
30229,3,伍勇昊,M,1657,1712,
30230,3,伍明鹏,M,1654,1697,
30231,3,伍云芳,F,1654,1710,
30232,3,伍浩明,M,1657,1745,
30233,3,伍达,M,1657,1708,
30234,3,伍婷月,F,1652,1741,
30235,3,伍睿,M,1651,1695,
30236,3,伍辉,M,1654,1718,
30237,3,伍远海,M,1655,1718,
30238,3,伍天,M,1655,1699,
30239,3,伍红,F,1653,1720,
30240,3,伍琳,F,1657,1745,
30241,3,伍烨熠,M,1656,1720,
30242,3,伍芳,F,1653,1704,
30243,3,伍璐,F,1654,1697,
30244,3,伍天,M,1653,1706,
30245,3,伍驰,M,1656,1723,
30246,3,伍鑫,M,1651,1696,
30247,3,伍媛,F,1653,1697,
30248,3,伍文,M,1655,1696,
30249,3,伍松奇,M,1653,1713,
30250,3,伍辉,M,1652,1702,
30251,3,伍素,F,1656,1711,
30252,3,伍波磊,M,1655,1718,
30253,3,伍雪,F,1656,1733,
30254,3,伍波,M,1657,1697,
30255,3,伍熠,M,1654,1740,
30256,3,伍璐爱,F,1656,1740,
30257,3,伍军,M,1657,1742,
30258,3,伍军,M,1657,1713,
30259,3,伍惠,F,1656,1719,
30260,3,伍婷,F,1657,1711,
30261,3,伍驰涛,M,1653,1714,
30262,3,伍浩,M,1657,1697,
30263,3,伍媛,F,1651,1692,
30264,3,伍晨,M,1657,1720,
30265,3,伍静,F,1655,1745,
30266,3,伍敏婷,F,1655,1695,
30267,3,伍斌,M,1652,1698,
30268,3,伍勇,M,1651,1699,
30269,3,伍媛,F,1656,1705,
