member_id,genealogy_id,name,gender,birth_year,death_year,biography
20000,2,朱烨,M,1725,1797,
20001,2,苏莺,F,1722,1801,
20002,2,朱晨,M,1728,1817,
20003,2,姚秀淑,F,1729,1808,
20004,2,朱奕,M,1727,,
20005,2,谢凤,F,1726,1788,
20006,2,朱刚博,M,1728,1814,
20007,2,袁薇,F,1727,1808,
20008,2,朱文,M,1724,1809,
20009,2,蒋莺,F,1724,1801,
20010,2,朱翔,M,1721,1809,
20011,2,董媛,F,1721,1787,
20012,2,朱毅明,M,1727,1768,
20013,2,邱淑,F,1724,1806,
20014,2,朱浩,M,1726,1796,
20015,2,江荣,F,1723,1806,
20016,2,朱熠,M,1728,1793,
20017,2,颜琳,F,1729,1799,
20018,2,朱磊翔,M,1724,1764,
20019,2,祝萍爱,F,1724,1787,
20020,2,朱淑,F,1741,1810,
20021,2,朱健,M,1740,1812,
20022,2,朱天,M,1736,1822,
20023,2,朱洁琪,F,1740,1811,
20024,2,朱远,M,1739,1784,
20025,2,朱蕾,F,1736,1778,
20026,2,朱凤菊,F,1737,1817,
20027,2,朱达,M,1740,1829,
20028,2,朱飞熠,M,1739,1811,
20029,2,朱卓,M,1736,1826,
20030,2,朱香,F,1738,1787,
20031,2,朱强天,M,1740,1829,
20032,2,朱菊,F,1737,1805,
20033,2,朱远,M,1738,1814,
20034,2,朱松,M,1736,1789,
20035,2,朱敏,F,1735,1786,
20036,2,朱婷薇,F,1741,1829,
20037,2,朱烨,M,1740,1788,
20038,2,朱鑫,M,1741,1789,
20039,2,朱斌,M,1741,1800,
20040,2,朱林斌,M,1737,1826,
20041,2,朱惠,F,1737,1805,
20042,2,朱月,F,1738,1804,
20043,2,朱娜,F,1741,1792,
20044,2,朱毅,M,1736,1819,
20045,2,朱燕,F,1736,1821,
20046,2,朱健松,M,1740,1786,
20047,2,朱蕾,F,1736,1779,
20048,2,朱杰,M,1741,1821,
20049,2,朱晨伟,M,1737,1803,
20050,2,朱春欣,F,1735,1776,
20051,2,朱志,M,1739,1801,
20052,2,朱远海,M,1739,1824,
20053,2,朱欣,F,1740,1812,
20054,2,朱洋,M,1737,1799,
20055,2,朱鸿,M,1738,1796,
20056,2,朱鹏,M,1740,1787,
20058,2,郭芬,F,1736,1808,
20059,2,梅玲,F,1735,1815,
20060,2,邱娥,F,1741,1831,
20061,2,安莺,F,1742,1811,
20062,2,陶雅,F,1736,1802,
20063,2,周春,F,1741,1786,
20064,2,孙艳,F,1738,1822,
20065,2,项梦,F,1735,1784,
20066,2,曹月珠,F,1739,1797,
20067,2,路凤,F,1734,1801,
20068,2,雷娜,F,1738,1788,
20069,2,于红,F,1732,1791,
20070,2,贺丽,F,1737,1823,
20071,2,宋莺,F,1741,1788,
20073,2,樊菊,F,1737,1787,
20075,2,朱琪燕,F,1756,1838,
20076,2,朱燕,F,1755,1815,
20077,2,朱驰刚,M,1756,1830,
20078,2,朱俊泽,M,1754,1801,
20079,2,朱达,M,1755,1844,
20080,2,朱蕾,F,1759,1841,
20081,2,朱刚海,M,1754,1835,
20082,2,朱宏,M,1758,1815,
20083,2,朱天,M,1759,1829,
20084,2,朱惠,F,1753,1833,
20085,2,朱宇,M,1755,1844,
20086,2,朱泽奕,M,1753,1807,
20087,2,朱毅,M,1754,1799,
20088,2,朱明俊,M,1757,1832,
20089,2,朱梦,F,1756,1831,
20090,2,朱天志,M,1755,1833,
20091,2,朱爱荣,F,1759,1840,
20092,2,朱雪燕,F,1759,1847,
20093,2,朱睿,M,1756,1828,
20094,2,朱洁莺,F,1756,1817,
20095,2,朱健,M,1759,1847,
20096,2,朱驰翔,M,1759,1823,
20097,2,朱珠,F,1756,1829,
20098,2,朱昊,M,1759,1848,
20099,2,朱文,M,1757,1817,
20100,2,朱媛颖,F,1758,1840,
20101,2,朱鹏,M,1759,1849,
20102,2,朱鸿,M,1754,1828,
20103,2,朱静,F,1756,1840,
20104,2,朱浩,M,1757,1816,
20105,2,朱琪,F,1757,1840,
20106,2,朱磊,M,1755,1827,
20107,2,朱奇军,M,1755,1805,
20108,2,朱芝颖,F,1756,1808,
20109,2,朱博,M,1756,1806,
20110,2,朱莺,F,1755,1823,
20111,2,朱轩哲,M,1753,1806,
20112,2,朱远,M,1753,1836,
20113,2,朱云云,F,1753,1834,
20114,2,朱伟,M,1755,1820,
20115,2,朱爱,F,1756,1818,
20116,2,朱浩,M,1753,1828,
20117,2,朱秀,F,1759,1842,
20118,2,朱香,F,1755,1845,
20119,2,朱磊磊,M,1753,1811,
20120,2,朱毅烨,M,1753,1821,
20121,2,朱鑫,M,1753,1798,
20122,2,朱磊,M,1755,,
20123,2,朱涛,M,1753,1826,
20124,2,朱雅,F,1759,1844,
20125,2,朱素玲,F,1756,1816,
20126,2,朱晨天,M,1757,1809,
20127,2,朱强,M,1757,1830,
20128,2,朱香,F,1754,1796,
20129,2,朱卓翔,M,1755,1842,
