member_id,genealogy_id,name,gender,birth_year,death_year,biography
10000,1,江凯轩,M,1861,1918,
10001,1,林秀,F,1858,1932,
10002,1,江浩,M,1860,1913,
10003,1,阮瑶,F,1857,1938,
10004,1,江伟,M,1863,1920,
10005,1,徐雅蕾,F,1861,1918,
10006,1,江杰,M,1865,1929,
10007,1,贾梦,F,1864,1906,
10008,1,江军,M,1861,1925,
10009,1,娄媛丽,F,1863,1926,
10010,1,江飞,M,1860,1949,
10011,1,沈怡,F,1858,1927,
10012,1,江熠奕,M,1862,1915,
10013,1,陈月,F,1864,1914,
10014,1,江驰,M,1862,1919,
10015,1,刁璐敏,F,1860,1949,
10016,1,江泽明,M,1877,1958,
10017,1,江芬,F,1875,1949,
10018,1,江文明,M,1877,1942,
10019,1,江洋,M,1878,1966,
10020,1,江翔,M,1878,1942,
10021,1,江芳,F,1878,1953,
10022,1,江哲烨,M,1874,1948,
10023,1,江杰,M,1878,1950,
10024,1,江瑞洁,F,1876,1948,
10025,1,江睿,M,1880,1969,
10026,1,江涛,M,1878,1919,
10027,1,江博,M,1880,1968,
10028,1,江芝瑞,F,1875,1950,
10029,1,江哲,M,1877,1951,
10030,1,江熠,M,1875,1940,
10031,1,江浩,M,1876,1951,
10032,1,江静敏,F,1874,1954,
10033,1,江凯达,M,1880,1952,
10034,1,江媛,F,1875,1961,
10035,1,江凤,F,1874,1941,
10036,1,江奕,M,1877,1920,
10037,1,江梦,F,1879,1944,
10038,1,江泽勇,M,1875,1932,
10039,1,江淑月,F,1877,1952,
10040,1,江军,M,1880,,
10041,1,江鑫,M,1875,1918,
10042,1,江泽鸿,M,1877,1967,
10043,1,江颖,F,1879,1954,
10044,1,娄艳,F,1874,1956,
10045,1,潘颖,F,1879,1927,
10046,1,陈芬凤,F,1874,1946,
10047,1,任薇,F,1881,1955,
10048,1,梅芬淑,F,1875,1923,
10049,1,贾红,F,1876,1937,
10050,1,郑燕兰,F,1875,1942,
10051,1,孔薇,F,1880,1955,
10052,1,梁艳,F,1875,1938,
10053,1,吴欣淑,F,1879,1932,
10054,1,娄芝,F,1877,1932,
10055,1,严素,F,1873,1934,
10056,1,孔梅,F,1880,1926,
10058,1,凌霞,F,1874,1955,
10059,1,江建,M,1891,1958,
10060,1,江惠,F,1893,1965,
10061,1,江昊,M,1895,1937,
10062,1,江欣,F,1895,1969,
10063,1,江宸,M,1895,1942,
10064,1,江菊,F,1895,1961,
10065,1,江林,M,1893,1945,
10066,1,江艳,F,1893,1960,
10067,1,江奕天,M,1893,1961,
10068,1,江琪秀,F,1897,1987,
10069,1,江佳,F,1893,1973,
10070,1,江荣,F,1892,1947,
10071,1,江怡,F,1897,1963,
10072,1,江海烨,M,1896,1967,
10073,1,江香,F,1892,1976,
10074,1,江雪雪,F,1895,1942,
10075,1,江翔,M,1896,1971,
10076,1,江彬凯,M,1892,1962,
10077,1,江璐,F,1897,1986,
10078,1,江勇,M,1896,1964,
10079,1,江月雅,F,1892,1952,
10080,1,江月,F,1891,1952,
10081,1,江龙,M,1891,1957,
10082,1,江哲,M,1895,1936,
10083,1,江达刚,M,1894,1961,
10084,1,江宸泽,M,1896,1961,
10085,1,江娜,F,1892,1966,
10086,1,江军,M,1895,1936,
10087,1,江雪,F,1893,1946,
10088,1,江蕾,F,1897,1954,
10089,1,江天博,M,1894,1939,
10090,1,江敏,F,1896,1977,
10091,1,江远明,M,1892,1933,
10092,1,江红,F,1894,1970,
10093,1,江媛,F,1891,1950,
10094,1,江萍瑶,F,1894,1979,
